Country,Strategy,Population Covered (%),Cumulative Cost ($USD Billions)
PER,LOS,96.42407248238355,0.6482999999999999
PER,LOS,96.48148853518884,0.6517499999999998
PER,LOS,96.75766586333307,0.6683999999999999
PER,LOS,96.9186541106062,0.6782999999999999
PER,LOS,97.05441863787583,0.6868499999999998
PER,LOS,97.07571183240452,0.6881999999999998
PER,LOS,97.23797227874437,0.6988499999999999
PER,LOS,97.36110975557563,0.7069499999999999
PER,LOS,97.6911941456665,0.7298999999999999
PER,LOS,97.70192239152766,0.7306499999999999
PER,LOS,97.70834414860774,0.7310999999999999
PER,LOS,98.13407132525205,0.7616999999999998
PER,LOS,98.20291438400292,0.7666499999999998
PER,LOS,98.48482989957944,0.7873499999999999
PER,LOS,98.55206277204884,0.7922999999999999
PER,LOS,98.62907828569998,0.7981499999999999
PER,LOS,98.7829384205903,0.8102999999999999
